Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
43,True,2020-February-12 18:04,ta/d_dataset_t1/control_data,bilstm,0.06358002538530573,0.23933283984661105,0.6893696977469163,0.11191276982128792,0.31205910444259644,0.4700631831455481,0.10648089084776384,0.30522513389587397,0.4971988884515178,,,120.75819873809814,23.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
44,True,2020-February-12 18:08,ta/d_dataset_t1/control_data,bigru,0.06652972382572568,0.2445647120475769,0.6761699798495536,0.10736525914861024,0.3060704171657562,0.4909655723460689,0.1024722357193856,0.2993273138999939,0.5150465490611703,,,169.46396040916443,36.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
45,True,2020-February-12 18:10,ta/d_dataset_t1/control_data,cnn_bilstm,0.06693255637523993,0.2446473836898804,0.6745449680132476,0.1089304682103516,0.30766698718070984,0.4846189015543016,0.10481498250019748,0.3015766143798828,0.5034623000796771,,,128.9585280418396,29.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
46,True,2020-February-12 18:14,ta/d_dataset_t1/control_data,cnn_bigru,0.06839187545802919,0.24764908850193024,0.6670252341858361,0.10940326142658308,0.3086853325366974,0.4835686755611921,0.10452027131682597,0.30173611640930176,0.5073692493925668,,,158.22742867469788,38.0,15.0,0.001,128,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
47,True,2020-February-12 18:14,ta/d_dataset_t1/control_data,baseline,0.2948283864933038,0.5258558392524719,-0.4507643001508912,0.298924422941502,0.5292883515357971,-0.4682662170999117,0.2939996750677469,0.5256462097167969,-0.4509662348737171,,,30.60865831375122,27.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
48,True,2020-February-12 18:18,ta/d_dataset_t1/control_data,FCNN,4.28286719363053,2.0677011013031006,-19.820431496282424,4.291177306020009,2.069683074951172,-19.730939128680586,4.2839259545779935,2.068001270294189,-19.81253199918246,,,191.31876707077026,70.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
49,True,2020-February-12 18:20,ta/d_dataset_t1/control_data,lstm,0.11066028060469199,0.3171360492706299,0.4762546259340274,0.11687851699759524,0.3251748085021973,0.4487831935372287,0.11461390561713007,0.3222096860408783,0.4607155070412479,,,132.34744596481323,23.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
50,True,2020-February-12 18:22,ta/d_dataset_t1/control_data,gru,0.15635287411923685,0.3827002942562103,0.2745405996530651,0.15794102818641848,0.3844116926193237,0.26823228474565186,0.15602950720294145,0.3827148079872131,0.27776736907151034,,,106.38207054138184,19.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
51,True,2020-February-12 18:27,ta/d_dataset_t1/control_data,bilstm,0.11191351589204787,0.3186182379722595,0.4721391951356056,0.11742182576795905,0.32537856698036194,0.4478420873776036,0.11529521177337212,0.3231028616428375,0.4584256026322261,,,227.28224277496338,25.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
52,True,2020-February-12 18:30,ta/d_dataset_t1/control_data,bigru,0.1410650435871291,0.3635361194610596,0.3418230705642737,0.14170902219416412,0.3642090559005737,0.3389072165792524,0.14090617276783468,0.3636233806610107,0.3457836943922599,,,175.70318460464478,20.0,15.0,0.01,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
