Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
20,True,2020-April-10 09:06,ta/d_dataset_3/prep_data_13,senet,0.021312479,0.144035728,0.91484641,0.021399314,0.143917737,0.913953881,0.021456489,0.144051464,0.9137289690000001,0.131621107,0.951434766,1366.434077,40,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
20,True,2020-April-10 09:52,ta/d_dataset_3/prep_data_13,senet,0.02016696,0.140128528,0.919262747,0.021514636,0.144276694,0.9133489920000001,0.021248247,0.143398213,0.9141559709999999,0.131621107,0.951434766,2068.971784,57,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
21,True,2020-April-10 10:24,ta/d_dataset_3/prep_data_13,resnet,0.021906005,0.145983907,0.9122444009999999,0.021058228999999998,0.142856299,0.915269824,0.021320699999999998,0.143657011,0.913927753,0.151220635,0.912116588,1026.971293,32,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
23,True,2020-April-10 16:18,ta/d_dataset_3/prep_data_13,senet,0.019840106,0.139010131,0.9208179879999999,0.020673508,0.14157899,0.9170472609999999,0.020940514,0.14234692599999998,0.915620614,0.129972413,0.950827706,1772.847152,49,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
25,True,2020-April-10 17:48,ta/d_dataset_3/prep_data_13,senet,0.016909691,0.12828710699999998,0.9324545870000001,0.019121615,0.13586411699999998,0.9225348259999999,0.019128791000000003,0.135781302,0.92273083,0.123327836,0.951801673,3053.206566,59,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
26,True,2020-April-10 18:34,ta/d_dataset_3/prep_data_13,senet,0.019607312,0.13816446699999999,0.92160976,0.020590696999999998,0.141166937,0.9168217040000001,0.02064134,0.141167618,0.916788332,0.150974363,0.9120370520000001,1904.204042,52,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
24,True,2020-April-10 19:12,ta/d_dataset_3/prep_data_13,resnet,0.020482607,0.141246238,0.917856703,0.02042611,0.140668425,0.917592682,0.020765438,0.141740506,0.916128315,0.122746825,0.9570114120000001,1458.499399,42,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
27,True,2020-April-11 10:44,ta/d_dataset_3/prep_data_13,cnn_bilstm,0.019812375,0.13878343699999998,0.9206334490000001,0.020445067,0.140511516,0.917443074,0.020462022,0.140583302,0.9171714759999999,0.148840532,0.916541298,1032.577657,41,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
28,True,2020-April-11 11:10,ta/d_dataset_3/prep_data_13,bilstm,0.016647969,0.127455199,0.933851524,0.022239604,0.146543027,0.91029646,0.021588062,0.144392729,0.9125735759999999,0.11490018699999999,0.9614727340000001,833.2682197,25,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
29,True,2020-April-11 11:33,ta/d_dataset_3/prep_data_13,bilstm,0.017015693000000002,0.128903453,0.9320736279999999,0.021451928999999998,0.144071111,0.9129480990000001,0.022192005,0.146300505,0.9097778,0.132305324,0.94652617,603.5747256,22,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
30,True,2020-April-11 12:12,ta/d_dataset_3/prep_data_13,lstm,0.020120015,0.14039811800000002,0.919588217,0.023416281,0.150929352,0.905563595,0.023350513,0.150513393,0.9055811909999999,0.16155017900000002,0.9013331990000001,563.9844196,29,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
32,True,2020-April-11 12:34,ta/d_dataset_3/prep_data_13,lstm,0.01831707,0.133749694,0.927030206,0.022608482000000003,0.147919405,0.908895383,0.023007104,0.149150265,0.907214663,0.143601328,0.925895419,629.0090082,20,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
33,True,2020-April-11 12:53,ta/m_dataset_p2/prep_data_13,lstm,0.018543404,0.13479134199999998,0.926103256,0.021421117000000003,0.144494738,0.913349621,0.021560556,0.144967302,0.9137057270000001,0.23523967,0.7930135290000001,313.9052963,30,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
34,True,2020-April-11 13:04,ta/m_dataset_p2/prep_data_13,cnn_bilstm,0.018985533,0.136013115,0.924156297,0.02024039,0.140079493,0.917963785,0.01976592,0.138470136,0.920853158,0.194185257,0.858067317,555.0097227000001,42,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
32,True,2020-April-11 13:51,ta/d_dataset_3/prep_data_13,lstm,0.015480118999999999,0.123074293,0.938425017,0.021527882999999998,0.144372113,0.9131141690000001,0.021673419,0.144768219,0.912097242,0.143601328,0.925895419,1193.6249779999996,39,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
35,True,2020-April-11 14:01,ta/m_dataset_p2/prep_data_13,bisltm,0.013964381000000001,0.116877305,0.944411428,0.019645688,0.137863958,0.920593228,0.019345247,0.136973263,0.922198007,0.205809593,0.846662525,566.9853742,40,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
36,True,2020-April-11 14:10,ta/m_dataset_p2/prep_data_13,lstm,0.01592704,0.124818477,0.936659363,0.02020008,0.139996848,0.9185438659999999,0.020428241,0.140739153,0.9183306520000001,0.26376614,0.757656579,479.8987658,29,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
3,True,2020-April-11 14:55,ta/m_dataset_p2/prep_data_13,LTRCNN,0.028658091,0.146868794,0.910918793,0.029097011000000002,0.14808064,0.908036726,0.028718722000000002,0.146846807,0.9105728609999999,0.241072237,0.790600327,654.4253149,31,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
10,True,2020-April-11 15:15,ta/d_dataset_3/prep_data_13,LTRCNN,0.028392757,0.144073817,0.914277723,0.028740226,0.144773835,0.912243313,0.029287456,0.14643041199999998,0.909779542,0.11966127900000001,0.9594475029999999,1105.724387,28,7,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
37,True,2020-April-11 15:42,ta/m_dataset_p2/prep_data_13,bilstm,0.014064653,0.117168616,0.944039328,0.019562678,0.137502516,0.920933296,0.019848752,0.138537229,0.920198745,0.196753517,0.856372487,842.0052917000003,47,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
38,True,2020-April-11 15:50,ta/m_dataset_p2/prep_data_13,lstm,0.018765716,0.13558103400000002,0.924788268,0.021314334,0.14411729199999998,0.9135337659999999,0.02160943,0.14500732300000002,0.912977337,0.20195061,0.850032401,357.5897338,33,7,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
